X,Y,OBJECTID,COUNTY,UNIQUE_ID,MONUMENT_NAME,RANGE,STATE_PLANE_ZONE,EASTING,NORTHING,LONGITUDE,LATITUDE
733651.2807,514334.82,150,BREVARD,BE V-388,V-388,V,East_Zone,790418.74,1548727.84,-80.58164691,28.59352145
733844.3165,514098.7386,151,BREVARD,BE V-389,V-389,V,East_Zone,791034.33,1547939.83,-80.57973729,28.59134827
734037.3832,513862.6302,152,BREVARD,BE V-390,V-390,V,East_Zone,791650.02,1547151.73,-80.57782743,28.58917483
734128.3064,513571.1589,153,BREVARD,BE V-391,V-391,V,East_Zone,791925.61,1546190.52,-80.57697928,28.58652856
734219.2607,513279.6607,154,BREVARD,BE V-392,V-392,V,East_Zone,792201.3,1545229.22,-80.57613086,28.58388204
734853.4429,465192.0443,155,BREVARD,BE R-100,R-100,R,East_Zone,790449.83,1387791.97,-80.5832833,28.15088893
734866.0624,464884.7743,156,BREVARD,BE R-101,R-101,R,East_Zone,790466.77,1386785.33,-80.58324145,28.14812006
734997.4801,464610.2817,157,BREVARD,BE R-102,R-102,R,East_Zone,790876.78,1385876.53,-80.58197884,28.14561657
735012.0078,464299.9808,158,BREVARD,BE R-103,R-103,R,East_Zone,790899.75,1384859.82,-80.58191842,28.14281993
735122.5167,464046.7938,159,BREVARD,BE R-104,R-104,R,East_Zone,791242.74,1384022.41,-80.5808631,28.14051342
735192.7736,463856.6635,160,BREVARD,BE R-105,R-105,R,East_Zone,791458.47,1383394.57,-80.58020045,28.13878453
735299.0001,463471.6692,161,BREVARD,BE R-106,R-106,R,East_Zone,791776.86,1382126.12,-80.57922616,28.13529268
735369.8604,463170.8048,162,BREVARD,BE R-107,R-107,R,East_Zone,791985.73,1381135.82,-80.57858875,28.13256691
735366.9527,462895.8938,163,BREVARD,BE R-108,R-108,R,East_Zone,791954.22,1380236.32,-80.57869619,28.13009317
735439.0597,462620.3589,164,BREVARD,BE R-109,R-109,R,East_Zone,792169.21,1379328.82,-80.57803894,28.12759508
732567.2455,490803.3851,165,BREVARD,BE R-011,R-011,R,East_Zone,784979.98,1471795.77,-80.59939419,28.38198462
735539.4282,462277.3694,166,BREVARD,BE R-110,R-110,R,East_Zone,792471.7,1378198.31,-80.57711266,28.12448276
735608.6307,462033.8464,167,BREVARD,BE R-111,R-111,R,East_Zone,792679.7,1377395.81,-80.57647602,28.12227352
735686.2458,461738.7403,168,BREVARD,BE R-112,R-112,R,East_Zone,792911.23,1376423.82,-80.57576825,28.11959788
735761.9926,461482.0817,169,BREVARD,BE R-113,R-113,R,East_Zone,793139.69,1375577.81,-80.57506868,28.11726877
735847.7017,461210.2377,170,BREVARD,BE R-114,R-114,R,East_Zone,793399.68,1374681.31,-80.57427187,28.11480047
736020.9409,460890.1239,171,BREVARD,BE R-115,R-115,R,East_Zone,793943.5,1373619.88,-80.57259643,28.1118758
735995.3331,460650.2764,172,BREVARD,BE R-116,R-116,R,East_Zone,793840.18,1372836.94,-80.57292546,28.10972335
736179.7277,460405.2315,173,BREVARD,BE R-117,R-117,R,East_Zone,794426.66,1372020.31,-80.57111513,28.10747156
736273.5905,460116.5051,174,BREVARD,BE R-118,R-118,R,East_Zone,794712.1,1371067.91,-80.57024015,28.10484924
736354.1842,459842.8258,175,BREVARD,BE R-119,R-119,R,East_Zone,794955.13,1370165.81,-80.56949621,28.10236568
732509.4675,490513.709,176,BREVARD,BE R-012,R-012,R,East_Zone,784766.98,1470852.27,-80.60006634,28.37939159
736379.5374,459554.985,177,BREVARD,BE R-120,R-120,R,East_Zone,795015.47,1369221.75,-80.56931941,28.09976849
736478.1812,459235.0406,178,BREVARD,BE R-121,R-121,R,East_Zone,795314.13,1368166.8,-80.56840466,28.09686397
736546.1164,458999.7364,179,BREVARD,BE R-122,R-122,R,East_Zone,795518.62,1367391.3,-80.56777895,28.09472898
736640.1576,458729.4693,180,BREVARD,BE R-123,R-123,R,East_Zone,795806.12,1366499.3,-80.5668971,28.09227275
736803.5699,458452.789,181,BREVARD,BE R-124,R-124,R,East_Zone,796321.11,1365580.8,-80.56531003,28.08974139
736894.0409,458166.5467,182,BREVARD,BE R-125,R-125,R,East_Zone,796595.6,1364636.8,-80.56446919,28.08714224
737015.479,457883.1919,183,BREVARD,BE R-126,R-126,R,East_Zone,796972.1,1363699.79,-80.56331196,28.08456131
737110.0937,457630.8927,184,BREVARD,BE R-127,R-127,R,East_Zone,797262.92,1362866.55,-80.56241934,28.08226664
737134.2658,457378.0328,185,BREVARD,BE R-128,R-128,R,East_Zone,797322.17,1362037.07,-80.56224484,28.07998459
737263.3883,457077.824,186,BREVARD,BE R-129,R-129,R,East_Zone,797722.58,1361044.29,-80.56101421,28.07725
732457.8965,490219.145,187,BREVARD,BE R-013,R-013,R,East_Zone,784573.99,1469892.28,-80.60067639,28.37675303
737351.9378,456791.1561,188,BREVARD,BE R-130,R-130,R,East_Zone,797990.72,1360099.05,-80.56019328,28.07464748
737473.6301,456537.6626,189,BREVARD,BE R-131,R-131,R,East_Zone,798370.44,1359259.75,-80.5590252,28.07233523
737567.3621,456319.1907,190,BREVARD,BE R-132,R-132,R,East_Zone,798661.06,1358537.29,-80.55813213,28.07034522
737694.7901,456014.5957,191,BREVARD,BE R-133,R-133,R,East_Zone,799055.55,1357530.29,-80.55692023,28.06757155
737827.3348,455727.5657,192,BREVARD,BE R-134,R-134,R,East_Zone,799468.26,1356580.37,-80.55565125,28.06495468
737940.6185,455455.254,193,BREVARD,BE R-135,R-135,R,East_Zone,799818.84,1355680.15,-80.55457441,28.06247512
738100.496,455176.294,194,BREVARD,BE R-136,R-136,R,East_Zone,800322.03,1354754.47,-80.55302473,28.05992399
738156.4664,454963.863,195,BREVARD,BE R-137,R-137,R,East_Zone,800489.02,1354054.78,-80.55251494,28.05799782
738313.5084,454637.5779,196,BREVARD,BE R-138,R-138,R,East_Zone,800979.11,1352974.44,-80.55100775,28.05502141
